sku_id,sku_code,main_design,wire_size,dimensions,design_type,line,cut,karat,color,price,image_filename,
22,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,14KT,RG,794,BALL22,
23,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,14KT,WG,371,BALL23,
24,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,14KT,YG,499,BALL24,
25,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,18KT,RG,326,BALL25,
26,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,18KT,WG,320,BALL26,
27,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,18KT,YG,835,BALL27,
28,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,20KT,YG,230,BALL28,
29,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,21KT,YG,844,BALL29,
30,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-22KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,22KT,YG,567,BALL30,
31,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-9KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,9KT,RG,696,BALL31,
32,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-9KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,9KT,WG,105,BALL32,
33,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line-Flat Cut-9KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line,Flat Cut,9KT,YG,315,BALL33,
34,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,10KT,RG,299,BALL34,
35,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,10KT,WG,885,BALL35,
36,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,10KT,YG,725,BALL36,
37,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,14KT,RG,729,BALL37,
38,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,14KT,WG,962,BALL38,
39,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,14KT,YG,697,BALL39,
40,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,18KT,RG,401,BALL40,
41,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,18KT,WG,513,BALL41,
42,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,18KT,YG,867,BALL42,
43,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,20KT,YG,914,BALL43,
44,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,21KT,YG,609,BALL44,
45,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-22KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,22KT,YG,388,BALL45,
46,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-9KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,9KT,RG,467,BALL46,
47,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-9KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,9KT,WG,418,BALL47,
48,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-2Line..-Flat Cut-9KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,2Line..,Flat Cut,9KT,YG,548,BALL48,
49,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,10KT,RG,221,BALL49,
50,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,10KT,WG,612,BALL50,
51,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,10KT,YG,520,BALL51,
52,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,14KT,RG,884,BALL52,
53,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,14KT,WG,594,BALL53,
54,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,14KT,YG,638,BALL54,
55,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,18KT,RG,150,BALL55,
56,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,18KT,WG,931,BALL56,
57,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,18KT,YG,856,BALL57,
58,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,20KT,YG,790,BALL58,
59,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,21KT,YG,514,BALL59,
60,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-22KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,22KT,YG,383,BALL60,
61,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-9KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,9KT,RG,872,BALL61,
62,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-9KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,9KT,WG,605,BALL62,
63,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-3Line-Flat Cut-9KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,3Line,Flat Cut,9KT,YG,537,BALL63,
64,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,10KT,RG,263,BALL64,
65,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,10KT,WG,563,BALL65,
66,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,10KT,YG,974,BALL66,
67,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,14KT,RG,683,BALL67,
68,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,14KT,WG,560,BALL68,
69,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,14KT,YG,703,BALL69,
70,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,18KT,RG,964,BALL70,
71,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,18KT,WG,236,BALL71,
72,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,18KT,YG,484,BALL72,
73,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,20KT,YG,195,BALL73,
74,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,21KT,YG,920,BALL74,
75,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-22KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,22KT,YG,171,BALL75,
76,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-9KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,9KT,RG,280,BALL76,
77,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-9KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,9KT,WG,320,BALL77,
78,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-4Line-Flat Cut-9KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,4Line,Flat Cut,9KT,YG,835,BALL78,
79,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,10KT,RG,813,BALL79,
80,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,10KT,WG,426,BALL80,
81,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,10KT,YG,232,BALL81,
82,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,14KT,RG,271,BALL82,
83,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,14KT,WG,506,BALL83,
84,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,14KT,YG,668,BALL84,
85,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,18KT,RG,289,BALL85,
86,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,18KT,WG,777,BALL86,
87,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,18KT,YG,324,BALL87,
88,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,20KT,YG,839,BALL88,
89,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,21KT,YG,893,BALL89,
90,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-22KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,22KT,YG,958,BALL90,
91,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-9KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,9KT,RG,997,BALL91,
92,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-9KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,9KT,WG,905,BALL92,
93,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-5Line-Flat Cut-9KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,5Line,Flat Cut,9KT,YG,161,BALL93,
94,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,10KT,RG,114,BALL94,
95,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,10KT,WG,337,BALL95,
96,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,10KT,YG,682,BALL96,
97,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,14KT,RG,530,BALL97,
98,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,14KT,WG,988,BALL98,
99,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,14KT,YG,219,BALL99,
100,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,18KT,RG,753,BALL100,
101,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,18KT,WG,546,BALL101,
102,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,18KT,YG,518,BALL102,
103,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,20KT,YG,183,BALL103,
104,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,21KT,YG,957,BALL104,
105,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-22KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,22KT,YG,936,BALL105,
106,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-9KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,9KT,RG,202,BALL106,
107,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-9KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,9KT,WG,475,BALL107,
108,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-6Line-Flat Cut-9KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,6Line,Flat Cut,9KT,YG,221,BALL108,
109,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,10KT,RG,274,BALL109,
110,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,10KT,WG,463,BALL110,
111,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,10KT,YG,171,BALL111,
112,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,14KT,RG,916,BALL112,
113,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,14KT,WG,940,BALL113,
114,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,14KT,YG,907,BALL114,
115,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,18KT,RG,269,BALL115,
116,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,18KT,WG,586,BALL116,
117,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,18KT,YG,482,BALL117,
118,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,20KT,YG,611,BALL118,
119,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,21KT,YG,658,BALL119,
120,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-22KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,22KT,YG,598,BALL120,
121,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-9KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,9KT,RG,953,BALL121,
122,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-9KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,9KT,WG,279,BALL122,
123,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-7Line-Flat Cut-9KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,7Line,Flat Cut,9KT,YG,949,BALL123,
124,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-10KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,10KT,RG,645,BALL124,
125,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-10KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,10KT,WG,305,BALL125,
126,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-10KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,10KT,YG,856,BALL126,
127,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-14KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,14KT,RG,914,BALL127,
128,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-14KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,14KT,WG,441,BALL128,
129,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-14KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,14KT,YG,966,BALL129,
130,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-18KT-RG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,18KT,RG,551,BALL130,
131,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-18KT-WG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,18KT,WG,943,BALL131,
132,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-18KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,18KT,YG,336,BALL132,
133,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-20KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,20KT,YG,299,BALL133,
134,BALL-0.30.5mm-1mm 4X7-Singapuri Ball-8Line-Flat Cut-21KT-YG,BALL,0.30.5mm,1mm 4X7,Singapuri Ball,8Line,Flat Cut,21KT,YG,510,BALL134,
